Name,Price,Description,Reviews,Rating,Image URL
Campus Men's MAXICO Running Shoes,₹699,"['Material Type: Mesh', 'Lifestyle: Sports', 'Warranty Type: Manufacturer', 'Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoe bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner']","26,475 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41pMjO0TF2L._SY395_SX395_.jpg
Campus Mens Ignite ProRunning Shoes,₹713,"['Lifestyle: Running Shoes', 'Warranty Type: Manufacturer', 'Care Instructions: Allow your pair of shoes to air and de-odorize at a regular basis, this also helps them retain their natural shape; use shoes bags to prevent any stains or mildew; dust any dry dirt from the surface using a clean cloth, do not use polish or shiner']","4,196 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41Pf0DSbjDL._SX395_SY395_.jpg
Campus Mens 5g-845 Running Shoe,"₹1,104","[""Shoes' Upper- Get ready to slay every day in these men's sports shoes with a supportive design and a soothing knitted vamp that feels super soft on your skin. The lace-up closure ensures a perfect fit, keeping your feet secure. Whether you are off to work, college, a pleasure trip, or a day out, these shoes for men adapt flawlessly to any occasion."", ""Shoes' Outsole- These casual men's shoes feature an Air Capsule in the midsole that delivers comfort and cushioning for your feet. You can wear them for various outdoor activities, such as running, gymming, walking, jogging, cardio, yoga, and more. The shoes have a responsive cushioning that makes them ideal for everyday use."", ""Shoes' Insole- Enjoy a comfortable and custom fit with these running shoes for men. The Memory Foam insole conforms to your foot shape and supports your feet's arch. The cushioned insole also makes walking or running more pleasant. These casual shoes have a supportive design for every step you take."", 'Style your shoes- For men who like versatile and comfortable running shoes, these lace-ups shoes are a great choice. They have a striking color scheme and an Air-Capsule in the heel for cushioning and stability. You can easily pair them with different outfits, from semi-formal to casual, depending on the occasion. Whether you are going to a party, to the park, on a coffee date, on a trip, or its just another day of college these shoes will fit your style.', ""Clean your Shoes- For optimal maintenance of these shoes, wipe off any dust from the surface with a dry cloth daily. Wash them with soap and water monthly and let them air dry. These men's shoes are easy to wash, clean, and dry.""]","2,848 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41+m4NMW5VL._SX395_SY395_.jpg
Amazon Brand - Symactive Mens FanaticRunning Shoe,₹645.,"['Memory foam insole to provide more cushioning and comfort', 'EVA outsole for better flexibility & bounce during movement', 'Our wide variety of sports footwear is made keeping you in mind. Available in a plethora of colours, shapes and materials, symactive shoes have been crafted with the single-minded objective of comfort, style and longevity. All of this at a price you simple can’t say no to.', 'Item Package Weight: 600.0 grams']",806 ratings,3.8 out of 5 stars,https://m.media-amazon.com/images/I/314XhW8D6eL._SX395_SY395_.jpg
new balance,"₹2,761","['MESH', 'Rubber outsole']",202 ratings,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51HNfI8qknL._SY395_SX395_.jpg
ASIAN Men's Wonder-13 Sports Running Shoes…,₹595,"['Lightweight & Breathable : Exclusive design and durable materials every step feels light and breezy. Breathable, free-moving fabrics which adjust according to your foot and creates an astoundingly easy-going experience.', 'Non Slip & Shockproof : Great engineering strikes a balance in style, made in the potent design and latest fashion trends. Made for long-term wear, with extra emphasis on providing cushion to the feet, removing heel strain.', 'Comfort Sole & Flexible Walk : The outsoles are made by an air cushion, doubling the effect of shock absorption. Besides, these shoes perform excellent in durability and are also slip resistant. It provides push cushioning comfort for foot pain relief and helps relieve pressure while conforming to your every step']","96,176 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/41xDwuBHfOL._SY395_SX395_.jpg
new balance Mens DriftRunning Shoe,"₹1,785.","['Engineered mesh upper', 'Forefoot comfort pad', 'Rubber outsole']",48 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41hsJI0rVoL._SY395_SX395_.jpg
"JQR - Signature Shoes for Men, Sports Shoes for Men, Running Shoes for Men, Men Shoes, Sports Shoes, Walking Shoes for Men, Sport Shoes for Men, Gym Shoes for Men","₹1,349","['Outer Material:Syntectic', 'Midsole Material:TPU/EVA', 'Outsole Material:Rubber', 'Ankle Length:Low']",199 ratings,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41rzdD89yXL._SY395_SX395_.jpg
Skechers Mens Bounder - Verkona Sneaker,"₹2,609",['Mesh Lace Up Jogger W/Hot Melt Overlays & Air-cool'],"1,002 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/31FtPl2wfFL._SY395_SX395_.jpg
"Nivia Flash 2.0 Badminton Shoes for Men, Rubber Sole with PVC Synthetic Leather Upper and mesh for Sports, Badminton, Volleyball, Squash, Table Tennis, (White) UK-10",₹949,"['Die-Cut soft NR EVA sock liner laminated with Polyester fabric.', 'Soft cushion NR EVA Inner insole.', 'Die-Cut soft NR EVA sock liner laminated with Polyester fabric.', 'PVC synthetic leather Upper with mesh.', 'TOE forepart stitching on sole lip gives provides support toe area.']",42 ratings,3.7 out of 5 stars,https://m.media-amazon.com/images/I/41yuGGvKAeL._SY395_SX395_.jpg
Adidas Mens Astoundrun MRunning Shoe,"₹1,449","['Upper Material-Synthetic', 'Outersole material-Rubber', 'Ankle Height-Low', 'Arch Type-Medium']",297 ratings,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41K1nEaRrnL._SX395_SY395_.jpg
Liberty Force 10 Sports Shoes for Men,₹712,"['Material: Mesh', 'Color: Blue', 'Care Instructions: Allow your Pair of Shoes to Air and De-Odorize at a Regular Basis', 'Lifestyle: Sports Shoes']",602 ratings,3.8 out of 5 stars,https://m.media-amazon.com/images/I/31Whh+vyBLL._SY395_SX395_.jpg
Adidas Men's Clinch-X M Running Shoe,"₹1,089",['Upper: Mesh upper for lightweight and breathability ;These are Men Running Shoes ;Brand: Adidas ;Midsole: lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces.'],"5,176 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41wWvZxkW8L._SX395_SY395_.jpg
